#HANDLE# O
ağrıları O
şimdi O
:( O

#HANDLE# O
oguzz O
lütfen O
o O
önceleri O
senin O
olmuş O
olabilir O
ama O
önceleri O
ben O
yoktum O
artık O
ben O
varım O
:) O
o O
yüzden O
unut O
sen O
artık O
#HANDLE# O
'i O

#HANDLE# O
evet O
ama O
olmuyooo O
off O
:D O

#HANDLE# O
babam O
çoh O
bağırıyo O
amk O
kulak O
kalmadı O
bende O
xd O

#HANDLE# O
:D O
hayır O
be O
o O
benim O
gülüşüm O
:P O
banane O
onun O
tatlılığından O
ya O
:D O
asıl O
o O
nasıl O
gülüyor... O
:D O

#HANDLE# O
kim O
pofi O
ben O
mi O
:D O

"seviyorum O
seni O
ekmeği O
tuza O
banip" O
diye O
şarkı O
sözü O
olur O
mu O
lan, O
ben O
hayatimda O
ekmeği O
tuza O
banan O
adam O
görmedim O
sen O
ne O
anlatiyosun O
birader O

kore S-LOCATION
şarkı O
sözlerine O
bayılıyorum O
yaa O
! O
seren S-PERSON
yine O
yapmış O
yapıcağını O
bütün O
şarkı O
sözlerini O
yazmışş O
:) O

#HANDLE# O
kanka O
yakışır O
:) O

- O
Şimdi O
yemekte O
böcek O
vardır O
kesin. O
+ O
Yok O
açıkbüfe O
istediğin O
böceği O
seçebiliyosun. O
Biz O
solucan O
hüpletiyoruz. O
tabii O
ki O
#HANDLE# O
:D O

#HANDLE# O
kanka O
napıyon O
:D O

miray S-PERSON
dioki O
twet O
atmaktan O
benimle O
konuşamıyosun O
:) O
lafa O
bak O
yaa O
:) O

R.I.P O
grandfather.. O
:( O

"türk'ün O
uzayla O
imtihanı" O
hadi O
bakalım... O
:) O

Mavişiim O
iyi O
kii O
vaar O
:) O

dudaklarım O
geberdi O
lan O
:D O

#HANDLE# O
sanırım O
hayallerin O
yıkılcak O
ama O
teomanaaaaa O
:D O
:D O

#HANDLE# O
yaaa O
ama O
kırık O
vardııı O
:( O
şimdideee O
pişmanımm O
hemen O
uzasıın O

İçimde O
bir O
his O
var O
Samsun<e_enamex> S-LOCATION
fenevi S-ORGANIZATION
eleyecek O
:D O

#HANDLE# O
yess O
I'm O
Belıeber O
:) O

#HANDLE# O
hiiiç O
öyle O
iştee O
bişey O
yapmıyorum O
tatlıım O
seen O
bu O
arada O
ben O
aşık O
oldum O
biliyo O
musuuun O
? O
:( O

#HANDLE# O
agu O
agu O
mu O
yaptı O
annem O
sana O
:D O
kandırmış O
seni O
baksana O
:D O

#HANDLE# O
cok O
ciddiym O
maasli O
calistircam O
nerak O
etme O
:) O

#HANDLE# O
o O
takıma O
senı O
de O
koysalar O
sende O
oynarsın O
abı O
:D O

#HANDLE# O
bende O
şok O
oldummm O
hahahhh O
:D:D O
çok O
becerikliyimdir O
biliyosun O
:D O

#HANDLE# O
ins O
elenirsiniz O
kodal O
:) O
ilk O
maçtan O
yattım. O
bastır O
antalya<e_enamex> S-LOCATION

#HANDLE# O
bak O
postacı O
geliyor O
selam O
veriyor O
herkes O
ona O
bakıyor O
merak O
ediyor O
muahahaha O
:D O

#HANDLE# O
louis O
online O
olur O
isallah O
:( O

#HANDLE# O
bilmem O
:D O

#HANDLE# O
ama O
ben O
onu O
twitter S-ORGANIZATION
da O
buldum O
:D O

#HANDLE# O
hayatımda O
hiç O
ödev O
yapmadım. O
Sana O
da O
tavsiye O
ederim O
.d O
intihar O
etmekten O
iyidir O
:) O

#HANDLE# O
hak O
eden O
görür O
diyo O
ama O
aşkım O
:D O

bu O
yorgunlukla O
çık O
şimdi O
gs S-ORGANIZATION
maçına.. O

#HANDLE# O
olur O
mu O
hiç O
öyle O
;) O

#HANDLE# O
O O
rtimden O
kurtulmak O
isteyene O
yazik O
zaten O
:) O

#HANDLE# O
olur O
diyorum O
ne O
dicem O
zaten O
benim O
bi O
kac O
ailede O
var O
nufusum O
:D O

#HANDLE# O
güzel O
şarkı O
, O
güzel O
müzik O
,güzel O
adam O
,kral O
klip O
yolda O
:) O

#HANDLE# O
Helal O
olsun. O
Herkes O
seni O
ornek O
almasın. O
Sen O
böyle O
tek O
kal O
olur O
mu? O
:) O

#10yildanedegisti O
çok O
şey O
degişti. O
siz O
türkler O
ne O
dersiniz O
degişmeyen O
tek O
şey O
degişimin O
taa O
kendisidir O
:D O

#HANDLE# O
hoşgeldin O
:D O

RT O
#HANDLE# O
#HANDLE# O
hazırım O
ve O
seni O
bekliyorum O
kuzum O
:) O

juan S-PERSON
think O
I'm O
domestic O
:) O

#HANDLE# O
#HANDLE# O
sonra O
yıne O
yer O
tuttuk O
ama O
cıcek O
koyduk O
yerıne O
:) O
ama O
sensız O
olmuyomus O
yusuf O
:D O

#HANDLE# O
ben O
böyle O
iyiyim O
ya O
:) O
kafamda O
deli O
sorularrrrrrr O
yok O
böyle O

adah S-PERSON
think O
I'm O
soulless O
and O
mindless O
:) O

Tavuk, O
pilav O
ve O
ayran O
:D O

#HANDLE# O
Buyur O
gel, O
kapımız O
her O
daım O
acık. O
;) O

#HANDLE# O
70 O
alırsak O
hepimiz O
sevinicez O
:D O
böyle O
dediğime O
bakma O

#HANDLE# O
ahahah O
:D O
olmaz O
daha O
yeni O
çıkardııım O
:D O

Neyse O
sakinim... O
:D O

Akıllı O
unutkan O
mutludur O
:) O

#HANDLE# O
ben O
de O
çok O
merak O
ediyorum O
nasıl O
olcak O
acaba O
seninle O
de O
tanışmamıştık O
bir O
sen O
kalmıştın O
:) O

Twente O
1 O
tane O
attı O
ama O
2. O
de O
lazım O
:) O
Go O
Twente O
goooo O
:) O

#HANDLE# O
ne O
demek O
hayatım O
ya O
güzin B-PERSON
ablada E-PERSON
kimmi O
burda O
ben O
varım O
:D O
gerçi O
senin O
ebeveynler O
biraz O
değişik O
ama O
neyse O
hertürlü O
yaparsın O
:D O

#HANDLE# O
ikimiz O
içinde O
iyi O
olmaz O
sonra O
ortamın O
fazileti O
kaçar O
:D O
hahahaha O
aklıma O
geldikçe O
gülüyorum O
:D O

verseydin O
o O
penaltıyı O
trabzon<e_enamex> S-LOCATION
elenmişti.. O
ama O
işte O
devam O
ediyor O
bordo O
mavi O
hakemler.. O
:@ O
asıl O
şike O
dibinizde.. O

Bazı O
insanlar O
gerçekten O
ayı O
arkadaş O
ya O
buna O
kanaat O
getirdim O
:D O
görgüsüz O
ayı O
hemde O

#HANDLE# O
:) O

#HANDLE# O
mention O
olmasın O
o O
:D O
konuştukça O
batıyosun. O

Haftasonu O
eylulun S-PERSON
dedıgıne O
gore O
, O
eylul S-PERSON
alara S-PERSON
ve O
ben O
gıdıyomusuz O
ucumuz O
tek O
olcaaz O
:) O

#HANDLE# O
bizde O
soz O
sozdur O
eliifciiik S-PERSON
:D O
Huma O
yapar O
yaaa O
:P O
Valla O
suan O
pastalarimla O
mesgulum O
ben O
:D O

#HANDLE# O
cumaaa S-DATE
gunu O
olsun O
da O
coook O
sey O
var O
konusucak O
:) O

#HANDLE# O
naaberr O
:) O

#HANDLE# O
Turkish O
fan O
RT O
:) O
#BOYFRIEND O
I O
Love O
you O
so O
much O
#5DAYS#CALLMEMAYBE O

#HANDLE# O
#HANDLE# O
bertbat O
ötesiiii O
:D O

#HANDLE# O
#HANDLE# O
inanan O
var O
:D O
ama O
Furkan S-PERSON
yapabilir O
bunu O
ne O
var O
ki? O

#HANDLE# O
işi O
bilirim O
:D O

ahahah O
bimcell S-ORGANIZATION
çıkıyormuş O
yok O
artıkkk O
:D O

#HANDLE# O
good O
:) O

#HANDLE# O
Maca O
kaptiriyo O
kendini O
psikopat. O
Sivas<e_enamex> S-LOCATION
macinda O
yan O
hakeme O
cakmak O
firlatmis. O
Ben O
seni O
n O
icin O
yolluyorum O
sen O
nabiyorsun O
:) O

#HANDLE# O
Bence O
çalınacak O
bir O
penaltı O
değildi O
kanka. O
Elini O
azıcık O
açsa O
Olcan O
tamam O
penaltı O
ama. O
Şans O
işte. O
:( O
Hakem O
de O
S.Abay S-PERSON
:S O

#HANDLE# O
hmmmm O
her O
an O
kavga O
etcek O
sebep O
bulabilirm O
:) O

Anneme O
Anne O
parrrmaklarini O
degil O
makarnamizi O
yemelisin O
dedim O
:D O

#HANDLE# O
karyayla O
öykünaz O
arasında O
büyük O
kapışma O
:D O

#HANDLE# O
o O
çok O
zor O
denemedim O
düşünmüyorum O
ama O
yinede O
koşarım O
:) O
sonra O
ümit O
verdn O
olur O
:/ O
ortalık O
karıştı. O

#HANDLE# O
;) O

#HANDLE# O
sende O
olaydınnn O
:( O

Askeriyede S-ORGANIZATION
yemek O
yicem O
bundan O
sonra.dunyalari O
#HANDLE# O
ile O
20 B-MONEY
tl E-MONEY
bu O
neya O
:) O

#HANDLE# O
Hadi O
yaa.Olsun O
her O
koşulda O
lys O
yüzdesi O
daha O
fazla O
:D O

#HANDLE# O
naber O
tatlım O
:D O

RT O
#HANDLE# O
Bugun O
3 O
ders O
matematik O
vardi O
sagolsun O
hocamiz O
rehberlik O
dersini O
de O
aldi O
4 O
ders O
oldu. O
:( O

İpodumu O
buldum O
çok O
mutluyum!! O
:D O
kaybolmuştu O

#HANDLE# O
#HANDLE# O
bende O
taaa O
enfeksiyona O
gittim O
not O
öğrenmeye O
hareket O
ediyom O
işte O
beee O
:D O

how O
i O
met O
your O
mother O
bana O
gitgide O
bi O
ted O
mosby O
ye O
dönüşüyosun O
diyo O
:D O

#HANDLE# O
hep O
yapıyorum O
harika O
iki O
tarz O
arasında O
ayrım O
yapamayınca O
en O
iyi O
yol O
bu O
ikisi O
de O
beni O
yansıtıyor O
:) O

#HANDLE# O
Cd O
de O
kaynamış O
:D O

Diamond O
was O
just O
a O
coal O
that O
did O
well O
under O
perssure O
:) O

#HANDLE# O
bugün O
yorucuydu O
galiba O
:) O

Zamanı O
gelicek, O
umursamadığın O
sevgime O
muhtaç O
olacaksın O
:) O

#HANDLE# O
bana O
karşı O
asamassın O
ki O
zatenn O
:d O

#HANDLE# O
yanlız O
soyle O
bisey O
var O
a O
dada O
hic O
kopya O
cekmeden O
73 O
68 O
falan O
aliyorum O
ingilizcem O
falan O
4 O
hani O
:D O

Bu O
kız O
#HANDLE# O
diyo O
ki O
#takipedenitakipederim O
#takipedenedilir O
diyo O
:D O

#HANDLE# O
sor O
:D O

#HANDLE# O
hee O
bılmıyorum O
gıdebıldıgı O
yere O
kadar O
gıder O
:) O

Kuzey O
'i O
kurtarmaya O
gittim O
-mezitli O
mezarlığı O
:) O

#HANDLE# O
hıhıı O
seninn O
hareketlerin O
bunu O
cok O
belli O
ediyo O
msjını O
uygulayarak O
düzgün O
bişiler O
yazmaya O
basla O
bencee:D O

RT O
#HANDLE# O
"burası O
muz O
cumhuriyetimi O
maç O
seyredeceğiz" O
diyenler O
, O
mahkeme O
ve O
CAS O
maç O
görüntülerini O
istedi. O
izleyecek. O
Utanırmı O
aca O
... O

#HANDLE# O
Tamam O
sildim O
son O
twiti O
:D O

#HANDLE# O
:( O
hadi O
üzülelim O

#HANDLE# O
cok O
iyi O
olurdu O
ama O
yapicak O
bisey O
yok O
artik O
cok O
gec O
:D O

#HANDLE# O
Katlancaksınn O
tabiiiiiiiiiiiiiiiiii O
:) O

#HANDLE# O
Gözlemciye O
örnek O
ver O
bakiim O
kankaa O
:D O

#HANDLE# O
ben O
at O
arabası O
alacağım O
:D O

#HANDLE# O
Onu O
bunu O
bırak O
ta O
seneye O
kop O
gel O
kavrama O
valla O
sıkıldım O
haa O
:D O

Telefonum O
kafayı O
buldu O
hadi O
sohbet O
edelim O
diyor! O
:D O

#HANDLE# O
elim O
sürçtü O
:) O
ben O
böyle O
asi O
değildim O
:) O

benden O
sana O
bugün O
kırmızı O
kart O
bebegm O
! O
:) O
#HANDLE# O

konuşş O
benimlee O
mike O
:) O

arayıp O
sormuyorsun O
melo O
hanıım O
diyen O
sevmediğim O
adamlara O
cok O
muhabbet O
tez O
ayrılık O
getirir O
bebeaaam O
ya O
ondan O
diyorum O
o O
mutlu O
ben O
mutlu O
:) O

Ne O
guzel O
guldun O
o O
aksam O
banaaaa O
:) O

#HANDLE# O
bunuda O
aşarız O
beybi O
;) O

#HANDLE# O
sevinmelisin O
:D O

Yorucu O
ve O
Eğlenceli O
bir O
gündü O
:) O

#HANDLE# O
:D O

#HANDLE# O
yeteri O
kadar O
çıkardın O
zaten O
yeter O
artık O
:) O

#HANDLE# O
#HANDLE# O
hahahah O
hani O
sanal O
ortamda O
tanisip O
bulusanlar O
gibi O
oldunuz O
:D O
hahah O

Yenıden O
baslamak O
herseye. O
yenı O
bı O
yasantı O
:) O

#HANDLE# O
:) O

#HANDLE# O
kesinlikleeee O
:D O

RT O
#HANDLE# O
#HANDLE# O
canimsin O
:D O

imdi O
! O
:D O

hahahah O
elif S-PERSON
sonunda O
sahalara O
gerı O
döndü O
:D O

#HANDLE# O
Adisin O
olm:D O

RT O
#HANDLE# O
#HANDLE# O
yorgunum O
baya. O
İki O
turne O
arasi O
ev O
tasidim. O
:) O
Turne O
nefis O
gecti, O
harikaydi. O
Tadini O
alamadik, O
yarin O
b O
... O

Evdeki O
makarna O
; O
saraydaki O
ekmekten O
iyidir O
;) O

#muzikicinefes O
maNga S-ORGANIZATION
akustik O
performanslar O
cok O
basarili. O
e-akustik O
albumu O
de O
bizi O
yaniltmayacaktir. O
:) O

Sare'll'e S-ORGANIZATION
bu O
"ll"lerden O
şüpheleniyorum..arkalarında O
İ'll'uminati O
var O
bence O
:D O

#HANDLE# O
hangi O
bölüm O
etmedik O
ki O
:D O

#HANDLE# O
o O
değilde O
bunun O
sakalını O
kaşıması O
fıkrasından O
daha O
komik O
:) O

aha O
fatmagüle S-PERSON
çocuk O
da O
hazır O
kerim S-PERSON
daha O
çooook O
bekler O
düğünü O

#HANDLE# O
tamam O
anladım O
şimdi O
:) O

Sufle O
yapabılen O
bı O
kız O
arkadasım O
olsun O
:D O

#HANDLE# O
ay O
ne O
odunum O
ya O
:D O

#HANDLE# O
aşkım O
benim O
çıkardım O
da O
biliyosun O
köpekler, O
horozlar O
bizim O
sokakta O
ışık O
yok O
ya O
:D O

Eleanor S-PERSON
ne O
yazmış O
:) O
Çok O
güldüm O
:) O
Seviyorum O
bu O
kzı O
:) O
:D O

günde O
bir O
adet O
yeşil O
elma O
ii O
gelir O
tabi O
yersen O
:D O

#HANDLE# O
:) O
tesekkur O
ederim O
#HANDLE# O

Noluyo O
lan O
bu O
twitter'a? O
vallaha O
ben O
bişey O
yapmadım O
:D O
#HANDLE# O

#HANDLE# O
:) O

#HANDLE# O
dm O
dm O
dm O
:) O

#HANDLE# O
whatsapp'a O
bak O
yavrucuğum O
:) O

#HANDLE# O
yeppp O
:D O
bu O
arada O
A O
mona'ymis O
:D O

#HANDLE# O
:) O

#HANDLE# O
#HANDLE# O
ya O
nereye O
daha O
yeni O
geldik O
:D O

RT O
#HANDLE# O
Hala O
"slm O
nbr O
;)" O
yazanlar O
varken O
ohoo O

#HANDLE# O
Canııım O
ablaaam O
bakmaya O
doyamadım O
yahuuu O
:) O
sana..:) O

#HANDLE# O
:D O

Hafta O
sonu O
TS S-ORGANIZATION
maçı O
da O
İstanbul S-LOCATION
Artık O
uzatmaları O
da O
oynayacak O
olan O
TS S-ORGANIZATION
belki O
de O
mağlubiyetin O
moral O
bozukluğuyla O
da O
İstanbul S-LOCATION
gelecek. O

Eğer O
cska O
şampiyon O
olursa O
bunda O
Galatasarayın S-ORGANIZATION
katkısı O
büyük O
olucak. O
Attığımız O
tokat O
onları O
kamçıladı O
:) O

#HANDLE# O
hangi O
dizi? O
tipler O
iyi O
kızı O
sevmiştim O
çocuk O
da O
klasik O
serseri O
japon O
işte O
:) O
sarı O
saç O
falan O
:D O

$heLamm O
zamqiLéRr O
xd O

#HANDLE# O
uyandıysan O
gercek O
olur O
:) O

Resmen O
uzatmaya O
gitti O
maç O
ya O
:( O
ölüyorum O
lan O
açlıktan O

#HANDLE# O
utandırdı O
beni O
:) O

Veee O
fettah B-PERSON
can E-PERSON
albümü O
raflarda O
''Aklımda O
Kalanlar'' O
ama O
yeni O
şarkı O
yokk O
şu O
zamana O
şarkıcılara O
verdiği O
parçalar O
yer O
alıyor. O

90 O
Dakika O
Sonu O
Ziraat B-ORGANIZATION
Türkiye I-ORGANIZATION
Kupası E-ORGANIZATION
Çeyrekfinalist O
Belirleme O
Maçı O
1-1 O
15'er O
Dakilkalık O
Uzatma O
Başladı O
Ve O
2-1 O
Oldu O
Antalya<e_enamex> S-LOCATION
Golü O
Buldu O
:( O

birilerini O
caya O
davet O
edip O
sonra O
cay O
demlemeyi O
unutmak O
cok O
da O
yadırhanacak O
bi O
davranıs O
degil O
bence O
:D O

Tuğba S-PERSON
dün O
yoğurt O
yemeye O
gidiyorum O
demiştim O
hala O
yemedim. O
:O O
Ama O
şimdi O
yemeği O
düşünüyorum O
:D O

#HANDLE# O
eylem O
filan O
la O
:D O
ayrica O
gittim O
tabii O
okuluma O

#HANDLE# O
nolcak O
kanka O
ya O
boşver O
:D O

Vatandaşlık O
sınavından O
ibneliğimle O
94 O
aldım. O
Burdan O
bütün O
sınıfıma O
duyurulur. O
:D O

#HANDLE# O
Helloooo! O
:D O
follow O
back? O

Abowww O
Antalya<e_enamex> S-LOCATION
fena O
koydu O
çocuğu O
trabzona O
:D O

#HANDLE# O
yemekten O
sonra O
:) O
oluyorum O
su O
an O
:) O

Acaba O
ingilizce O
üzerine O
felsefe-edebiyat O
mı O
okusam?? O

Yani O
İngilizce O
Dil O
Edebiyatıı O
:) O
Evet O
babam O
diyodu O
onceden O
ama O
takmıyodum O
:/ O

#HANDLE# O
amele O
apacı O
dıyoruz O
ama O
bızde O
orda O
varız O
kendımıze O
laf O
atıyoruz O
:D O

Sanal O
temizliğin O
keyfide O
ayrı O
oluyoor O
:D O

#HANDLE# O
tabi O
şekilsin O
yaaa O
:D O

Golden O
sonra O
secdeye O
yatmak O
da O
moda O
oldu O
:) O

#HANDLE# O
nasıl O
özledim O
böyle O
yanaklarını O
sıkıp O
kıllarını O
çekesim O
var O
o O
derece O
:))) O
sen O
bi O
tanesin O
2 O
tane O
olsan O
çekilmezsin O
:) O

RT O
#HANDLE# O
Ah O
teyzem O
o O
elin O
dert O
gormesin O
, O
o O
nasil O
guzel O
patlatmaktir O
. O
Yuregine O
saglik O
. O
#katilBDP O
Sebahat O
aldin O
mi O
mesajini O
:) O

The O
beginning O
of O
spring O
:) O

Yaz O
gelıyo O
hava O
cok O
sıcak O
olmaya O
basladı O
umarım O
okulumuzdakı O
tum O
kaşarlar O
erir O
:D O

#HANDLE# O
fark O
ettim O
canımm O
:D O
tamam O
sen O
tatli O
ol O
zaman O
makarnam O
bitti O
nerdesin O
gel O
artik O
tatli O
vaktiii O
:( O

trabzon<e_enamex> S-LOCATION
koyuyolar O
lan O
:) O

#HANDLE# O
#HANDLE# O
ya O
birinizi O
eklemiyo O
telde O
zor O
olii O
:D O

Gol O
beeee.. O
Gel O
Antalya<e_enamex> S-ORGANIZATION
geeeell O
geeel O
gel.. O
:) O

Antalya<e_enamex> S-LOCATION
attı O
:) O

#10yildanedegisti O
bişey O
değişmedi O
6s O
halen O
fenere S-ORGANIZATION
yeniliyor O

ATIYEYI O
VE O
ONUN O
SARKILARINI O
COK O
SEVIYORUM O
YAAAA O
:D O
WUHUUUUU O
:D O

Antalya<e_enamex> S-LOCATION
mühis O
gol O
attı O
:) O

Sinirlerim O
bozuk O
sanırım O
iğrenç O
esprilere O
çok O
içten O
gülmeye O
başladım O
yine O
:) O

#HANDLE# O
bende O
bende O
ya O
bi O
daha O
buladar O
agir O
spor O
yapmamaliyiz O
bence O
:D O

#HANDLE# O
teşekkür O
eden O
insanda O
kibarlık O
geni O
olur O
:D O

happy O
birtday O
twitter S-ORGANIZATION
aşkım, O
sen O
olmasan O
içimizi O
kime O
dökücektik O
biz? O
4 O
senedir O
tanımıyorum O
seni O
elimde O
büyüdün O
:D O

#HANDLE# O
ben O
bir O
balık O
burcu O
olarak,başak O
erkeği O
ile O
hiç O
anlaşamadım. O
Çok O
vurdumduymaz,gamsız,ilgisizler.. O
Bana O
mı O
denk O
geldi O
acep?? O
;) O

#HANDLE# O
#HANDLE# O
ohaaa O
arkadasimla O
bunu O
okurken O
hala O
oyle O
zannettigimizin O
farkina O
vardik O
ahahaha O
:D O

Naptin O
Antalya<e_enamex> S-LOCATION
:) O

goool O
antalya<e_enamex> S-LOCATION
naptı O
öyle O
:D O
sıra O
trabzonda O

#HANDLE# O
Duygulandırdım O
mı O
seni O
karşim O
:D O

#HANDLE# O
Olsun O
ya O
:D O

#HANDLE# O
neden O
laan O
:( O

Hani O
yanimdan O
gecerken O
gobusunu O
iceri O
cekip O
tisortunu O
duzeltiyorsun O
ya O
yerim O
seni O
yerimmm O
:) O
? O

Elma O
suyuu O
gibisi O
yok O
:) O

oha O
uzatmanın O
14.saniyesi O
:) O
2-1 O
antalya<e_enamex> S-LOCATION
önde O

#HANDLE# O
facebook S-ORGANIZATION
actim O
ama O
girmiyorum O
hic O
girip O
bakacagim O
hemen O
:D O

#HANDLE# O
#HANDLE# O
kıl O
payı O
geçtim O
bide O
notumu O
açıklamıyolar O
kalkmış O
taa O
evden O
gelmişim O
öğrenmeden O
gidermiyim O
hiç O
aaa O
:D O

#HANDLE# O
o O
kim O
amk O
:D O

bugün O
günlerden O
tabi O
ki O
#muhtesemyuzyil O
:) O
;) O

Gol O
lan O
gol O
Noldu O
lan O
bize O
dün O
ezik O
diyen O
trabzonlular S-ORGANIZATION
? O
:D O

tek O
hayalim O
newroz O
da O
ateşten O
alamaktı O
oda O
oldu O
:) O
artık O
rahatça O
öleblrm O

Mac O
sonu O
Hb S-ORGANIZATION
3- O
FB S-ORGANIZATION
0 O

#HANDLE# O
"daaa!" O
:) O

guzel O
gol O
:) O

Allah'ın O
herşeyi O
gördügünü O
duydugunu,bildigini O
bilmek O
durust O
olan O
insanlar O
icin O
ne O
büyük O
huzur.bir O
de O
ilahi O
adalet O
var O
ki O
tik O
tak O
tik O
tak O
:) O

#takipedenitakipederim O
#HANDLE# O
bu O
melegimide O
takip O
edin O
:) O

gol O
be O
helal O
antalya<e_enamex> S-LOCATION
ozet O
sandım O
amk O
uzatmanın O
22.saniyesinde O
attı O
:D O

#HANDLE# O
Duygulandırdım O
mı O
seni O
karşim O
:D O

#HANDLE# O
facebook S-ORGANIZATION
actim O
ama O
girmiyorum O
hic O
girip O
bakacagim O
hemen O
:D O

#HANDLE# O
o O
kim O
amk O
:D O

..bizde O
merveyle O
bindik O
kalpazanliktan O
asansöre O
basmalarini O
bekledik O
o O
sirada O
bi O
10 O
dakka O
durmusuzdur O
ne O
salaklik O
ha O
:D O

#HANDLE# O
daldan O
dala O
daldan O
dala O
:D O

şimdi O
galatasaray S-ORGANIZATION
elendi O
kupayı O
fenerbahçe S-ORGANIZATION
mi O
alacak O
:) O

15 O
saniyede O
gol O
attı O
antalya O
:D O

sorduk O
mu O
:D O

#HANDLE# O
Ben O
pek O
sevmiyorum.. O
Saol O
kuzen O
(: O

#HANDLE# O
ama O
fish O
burgeri O
daha O
iyi O
:) O

#HANDLE# O
bi O
an O
gaza O
geldim O
:D O

4 O
büyükler O
eleniyor O
amk O
noluyo O
:D O

karın O
kası O
gelsııtrme O
:) O
150 O
şınav O
:) O

o O
piçten O
ayrılmışsın,artık O
engel O
kalmadı O
desene O
:) O
#HANDLE# O

#HANDLE# O
vermezsem O
nolcaaak O
:) O

Trabzona<e_enamex> S-LOCATION
fena O
girdi O
yalnız O
bu O
gol O
:)) O
buz O
gibi O
gol O
:) O

#HANDLE# O
kim O
demiş O
? O
:D O

#HANDLE# O
bende O
oyle O
sanıyodum O
:D O

bi O
parayı O
bulayım O
türkiyeye S-LOCATION
zırnık O
koklatmıcam O
:) O

#HANDLE# O
#HANDLE# O
elbetteeee O
:) O

Sevgilisi O
olan O
tutmus O
elinden O
güzel O
havayi O
değerlendiriyor O
bende O
elim O
cebimde O
geziyorum.Merhaba O
kizlar O
:) O

#HANDLE# O
:D O
valla O
sivas O
bana O
bi O
şok O
yarattı O
gercekten O
oynadıysan O
iyi O
para O
vermistir O

#HANDLE# O
Tweetlerini O
bekliyorummm O
:D O

#HANDLE# O
tabi O
olabilir O
ama O
o O
tarz O
şeyler O
bende O
yok. O
:D O

#HANDLE# O
ileri O
:D O

#HANDLE# O
Ahahaa O
:D O
Yanlışlıkla O
oldu O
:D O
ama O
senin O
cevabında O
çok O
iyiydi O
be O
hala O
gülüyorum O
:D O
basketçi O
olan O
mı O
:D O
::D O
:D O
alem O
adamsın O
:D O

Benim O
2 O
aşkımda O
vodafone S-ORGANIZATION
oluyoo O
:D O

#HANDLE# O
Hayvanımsı O
her O
zaman O
gülerim O
ben O
merak O
etmeee O
:D O
:D O

#HANDLE# O
babooooş O
bırak O
çocukları O
biraaaak O
:D O
#HANDLE# O

RT O
#HANDLE# O
FB S-ORGANIZATION
Lavrinovic S-PERSON
degerini O
bilmemiş O
CSKA S-PERSON
da O
muazzam O
oynuyor O

15 O
saniyede O
gol O
helal O
olsun O
Antalya<e_enamex> S-LOCATION
:) O

#HANDLE# O
fotoğrafı O
değiştirdiğin O
anda O
yumurtadan O
çıkmış O
oldun O
sen O
:) O

#HANDLE# O
hahhah O
mersii O
:) O
araba O
vardida O
ehliyetime O
kavustum O
:) O

insanin O
tanimadan O
nefret O
edebilecegi O
tek O
kisi O
sevdiginin O
sevdigidir O
:D O

Muhteşem O
Yuzyıl O
günü O
oley O
oley O
oley O
:D O

#HANDLE# O
aynen O
kanka O
tek O
tek O
eleniyo O
ibneler O
:D O

#HANDLE# O
teşekkürlerrrr! O
:) O

Mehmet B-PERSON
Eren E-PERSON
Erdemirspor S-ORGANIZATION
yanındakine O
pas O
veremediği O
dönemleri O
hayal O
meyal O
hatırlıyorum O
:) O
Bu O
asist O
uzay O
bişey O
oldu O
:) O

M.P. O
Antalyaspor S-ORGANIZATION
2-1 O
Trab20nspor S-ORGANIZATION
l O
Dakika O
95 O
(Maç O
uzatmalara O
gitti) O
HAMSİLER O
TAVADA O
:D O

#HANDLE# O
kanka O
birileri O
kıskandırma O
çabasında O
yineee O
:D O

Şimdiden O
konser O
planları O
yapıyoruuuz O
:D O
:D O
:D O

#HANDLE# O
bence O
o O
yapılan O
eyleme O
bi O
isim O
koymak O
zor O
:) O
geyik O
mi O
? O
geyik O
az O
kaçar O
yayaaaa... O

s.a O
! O

#HANDLE# O
Tamam O
postala O
:D O

#HANDLE# O
ben O
bu O
ara O
fena O
taktım O
bu O
şarkıya:) O
nasıl O
ilk O
defa O
dinliyorsun O
yaa O
döverim O
seni O
hee O
:D O

#HANDLE# O
bundan O
sonra O
boyle O
:) O

yorucu O
bir O
günün O
ardından O
evde O
ayaklarını O
uzatıp O
keyfine O
bakmak O
gibisi O
yok... O
:) O

#HANDLE# O
ne O
tarz O
şeylere O
hangi O
bakış O
açılarıyla O
bakacağız O
? O
:) O

#patlaksokaklar O
harika O
olmuştur O
eminim O
en O
kısa O
zamanda O
izlenmeli O
bencee O
:D O

Ahahaha O
mehmet B-PERSON
ozdilegi E-PERSON
tribune O
yollamiar O
kiyamam O
:D O

#HANDLE# O
hmm O
it O
would O
be O
so O
easy O
for O
you O
haha O
:) O
xx O

